utterance,[Goodbye][Help][activate_device][cancel][greetings][Thanis]
arrivederci,
bye,
can you assist me,
can you help,
can you help me activate my new device,
cancel that,
cancel the request,
ciao,
forget it,
good bye,
Good day,
Good evening,
Good morning,
Good to see you,
Greetings,
Have you been well?,
Hello,
Hello Agent,
Hello I am looking for some help here,
help,
help me,
help me decide,
Hey how are you doing,
Hey there,
Hey there all,
Hey twin,
Hey you,
hi,
Hi advisor,
Hi there,
hiya,
How are things going?,
How are you today?,
how can I activate my new phone,
How have you been?,
How is it going?,
How r u?,
i appreciate it,
I bought a new phone and would like to make it active with my number,
i changed my mind,
i don't want a table anymore anymore,
i need assistance,
I would like to activate my device,
Looking good eve,
many thanks,
much appreciated,
never mind,
nevermind,
Ok take me back,
see ya,
so long,
thank you,
thank you very much,
thanks,
that's nice of you,
thx,
what can i do,
what can i say,
what do I need to do to map my number to my new phone,
What's new?,
What's up?,
Who is this?,
yo,
You there,
