utterance,[Goodbye][Help][activate_device][cancel][greetings][Thanis]
arrivederci,Goodbye
bye,Goodbye
can you assist me,Help
can you help,Help
can you help me activate my new device,activate_device
cancel that,Cancel
cancel the request,Cancel
ciao,Goodbye
forget it,Cancel
good bye,Goodbye
Good day,General_Greetings
Good evening,General_Greetings
Good morning,General_Greetings
Good to see you,General_Greetings
Greetings,General_Greetings
Have you been well?,General_Greetings
Hello,General_Greetings
Hello Agent,General_Greetings
Hello I am looking for some help here,General_Greetings
help,Help
help me,Help
help me decide,Help
Hey how are you doing,General_Greetings
Hey there,General_Greetings
Hey there all,General_Greetings
Hey twin,General_Greetings
Hey you,General_Greetings
hi,General_Greetings
Hi advisor,General_Greetings
Hi there,General_Greetings
hiya,General_Greetings
How are things going?,General_Greetings
How are you today?,General_Greetings
how can I activate my new phone,activate_device
How have you been?,General_Greetings
How is it going?,General_Greetings
How r u?,General_Greetings
i appreciate it,Thanks
I bought a new phone and would like to make it active with my number,activate_device
i changed my mind,Cancel
i don't want a table anymore anymore,Cancel
i need assistance,Help
I would like to activate my device,activate_device
Looking good eve,General_Greetings
many thanks,Thanks
much appreciated,Thanks
never mind,Cancel
nevermind,Cancel
Ok take me back,General_Greetings
see ya,Goodbye
so long,Goodbye
thank you,Thanks
thank you very much,Thanks
thanks,Thanks
that's nice of you,Thanks
thx,Thanks
what can i do,Help
what can i say,Help
what do I need to do to map my number to my new phone,activate_device
What's new?,General_Greetings
What's up?,General_Greetings
Who is this?,General_Greetings
yo,General_Greetings
You there,General_Greetings
